sample,geometry_variant,model,features,parameter_count,coefficients,standard_errors,rank,full_rank,condition_number,chi2,minus_two_log_likelihood,aicc,bic,loo_rmse,class_holdout_rmse,loo_rmse_ratio_to_intercept,class_holdout_rmse_ratio_to_intercept,support_threshold_pass
robust_five,fiducial,intercept,[],1,[0.7791496339789707],[0.02024604320051019],1,True,1.0,112.60787710806827,83.21848967345863,85.61848967345864,85.70339632324664,0.5400207003188503,0.8107816357991063,1.0,1.0,False
robust_five,fiducial,gamma_dyn,"[""log10_gamma_dyn""]",2,"[0.3583104843521041, 0.23735539147306198]","[0.07899233761538338, 0.04306386846260392]",2,True,9.174796764127647,82.2289717009976,52.83958426638798,58.172917599721316,57.809397565963984,0.49562768110671757,0.9284865147800627,0.9177938564467598,1.1451745744894017,False
robust_five,fiducial,gamma_gas,"[""log10_gamma_gas""]",2,"[0.4287661754332605, 0.20665877925107776]","[0.0698368426498591, 0.039421392827079946]",2,True,7.9318274784220675,85.12616472395018,55.736777289340566,61.0701106226739,60.70659058891657,0.5018431147672109,0.9677369780442239,0.9293034775720675,1.1935852211186584,False
robust_five,fiducial,gamma_dyn_plus_fgas,"[""log10_gamma_dyn"", ""fgas""]",3,"[1.0582734055785572, 0.4590482822997709, -1.2968634488009487]","[0.19110061978317708, 0.06994221744277593, 0.3223997484289412]",3,True,41.166368422540174,66.04820441779977,36.658816983190135,45.658816983190135,44.11353693255414,0.43700121920860713,0.9532583346360664,0.8092304960728056,1.175727585019282,False
robust_five,inclination_low,intercept,[],1,[0.8142140218295836],[0.02024604320051019],1,True,1.0,99.47502555598095,70.08563812137132,72.48563812137132,72.57054477115932,0.5043273868881548,0.760874643875109,1.0,1.0,False
robust_five,inclination_low,gamma_dyn,"[""log10_gamma_dyn""]",2,"[0.4325261224897987, 0.21527388991411842]","[0.07899233761538338, 0.04306386846260392]",2,True,9.174796764127647,74.48557909034301,45.096191655733406,50.42952498906674,50.06600495530941,0.4664927493688852,0.9067046445170365,0.9249800060379028,1.191661007257674,False
robust_five,inclination_low,gamma_gas,"[""log10_gamma_gas""]",2,"[0.495665297438397, 0.1878824154196837]","[0.0698368426498591, 0.039421392827079946]",2,True,7.9318274784220675,76.76025572374618,47.370868289136546,52.70420162246988,52.34068158871255,0.4711474867571064,0.934919931917216,0.9342096007599786,1.2287437088923088,False
robust_five,inclination_low,gamma_dyn_plus_fgas,"[""log10_gamma_dyn"", ""fgas""]",3,"[1.0371750018719674, 0.40677883101941514, -1.1202693846343046]","[0.19110061978317708, 0.06994221744277593, 0.3223997484289412]",3,True,41.166368422540174,62.41145745984633,33.022070025236715,42.022070025236715,40.47678997460072,0.42062574173868483,0.9104522680849148,0.8340331155404166,1.1965864224992595,False
robust_five,inclination_high,intercept,[],1,[0.7528383406756833],[0.02024604320051019],1,True,1.0,124.19229557114201,94.80290813653238,97.20290813653239,97.28781478632038,0.5720183697550251,0.8558403809814749,1.0,1.0,False
robust_five,inclination_high,gamma_dyn,"[""log10_gamma_dyn""]",2,"[0.31200390406670536, 0.24863283363466507]","[0.07899233761538338, 0.04306386846260392]",2,True,9.174796764127647,90.85803095422825,61.46864351961863,66.80197685295197,66.43845681919463,0.5247544548898094,0.9519742200191368,0.9173734317562965,1.1123268324023412,False
robust_five,inclination_high,gamma_gas,"[""log10_gamma_gas""]",2,"[0.3872075900105572, 0.21565174595493264]","[0.0698368426498591, 0.039421392827079946]",2,True,7.9318274784220675,94.26675335654936,64.87736592193976,70.21069925527308,69.84717922151576,0.5318812302544234,1.0000259229984867,0.9298324291267237,1.168472468956957,False
robust_five,inclination_high,gamma_dyn_plus_fgas,"[""log10_gamma_dyn"", ""fgas""]",3,"[1.102287242890919, 0.4989320889854246, -1.4642055246608192]","[0.19110061978317708, 0.06994221744277593, 0.3223997484289412]",3,True,41.166368422540174,70.23204613109986,40.84265869649027,49.84265869649027,48.297378645854266,0.45414523417231367,0.9940044835674601,0.7939347024236438,1.1614367651448498,False
robust_five,distance_low,intercept,[],1,[0.8173367239519637],[0.02024604320051019],1,True,1.0,122.57718376182707,93.18779632721746,95.58779632721746,95.67270297700546,0.5586803925542171,0.8660482314370538,1.0,1.0,False
robust_five,distance_low,gamma_dyn,"[""log10_gamma_dyn""]",2,"[0.4225462926840265, 0.22266378364870149]","[0.07899233761538338, 0.04306386846260392]",2,True,9.174796764127647,95.84262081626284,66.45323338165322,71.78656671498655,71.42304668122922,0.5355819637886488,0.9890612948770195,0.9586553795812214,1.1420395065478597,False
robust_five,distance_low,gamma_gas,"[""log10_gamma_gas""]",2,"[0.48942233616139263, 0.19340635360165914]","[0.0698368426498591, 0.039421392827079946]",2,True,7.9318274784220675,98.5071031462237,69.11771571161407,74.4510490449474,74.08752901119007,0.5352261410392275,1.0272435332639396,0.9580184809999154,1.1861273956525618,False
robust_five,distance_low,gamma_dyn_plus_fgas,"[""log10_gamma_dyn"", ""fgas""]",3,"[1.109346129629945, 0.440187650491634, -1.2724754100074065]","[0.19110061978317708, 0.06994221744277593, 0.3223997484289412]",3,True,41.166368422540174,80.26470298984124,50.87531555523163,59.87531555523163,58.33003550459563,0.47700727021632305,1.0225168572095595,0.8538106519820846,1.180669644129258,False
robust_five,distance_high,intercept,[],1,[0.7466336570891123],[0.02024604320051019],1,True,1.0,110.79579938222847,81.40641194761888,83.80641194761888,83.89131859740688,0.5333528519509841,0.7751869630392184,1.0,1.0,False
robust_five,distance_high,gamma_dyn,"[""log10_gamma_dyn""]",2,"[0.30685980973129817, 0.2480346559767041]","[0.07899233761538338, 0.04306386846260392]",2,True,9.174796764127647,77.62173746882631,48.2323500342167,53.56568336755004,53.202163333792704,0.48061497296216116,0.8884881083144294,0.9011200956441691,1.1461597661949827,False
robust_five,distance_high,gamma_gas,"[""log10_gamma_gas""]",2,"[0.3799488470474825, 0.2162734380431109]","[0.0698368426498591, 0.039421392827079946]",2,True,7.9318274784220675,80.6974666370652,51.3080792024556,56.64141253578894,56.277892502031605,0.49306354377791506,0.9284601909252225,0.9244603117322944,1.1977242074416177,False
robust_five,distance_high,gamma_dyn_plus_fgas,"[""log10_gamma_dyn"", ""fgas""]",3,"[1.017519590188603, 0.4731154657541752, -1.3166821639539654]","[0.19110061978317708, 0.06994221744277593, 0.3223997484289412]",3,True,41.166368422540174,60.9426411514267,31.553253716817082,40.55325371681708,39.00797366618109,0.4274262672611375,0.9070823250806802,0.8013949221376219,1.170146517330928,False
all_six,fiducial,intercept,[],1,[0.7718224757599578],[0.02015592164847438],1,True,1.0,127.35271459822637,96.71632619610685,99.07996255974321,99.28127555356839,0.5638258851609266,0.8237994059167533,1.0,1.0,False
