label,lambda_perp,saddle_index,saddle_excess,cap_radius,cap_volume,cos_phi,energy_drift_pct,norm_drift_pct,n,length,log_pressure,c_eff
opposite,0,4,86.2420567454,0,0,0.884403607355,7.31061,8.19693e-11,16,12.0,0.5,1
same,0,4,137.864281236,4.51792224939,64.125,0.837490006436,8.27573,6.84928e-11,16,12.0,0.5,1
opposite,0.785,4,1194.32632259,5.95413835695,111.375,0.861624270821,35.5195,6.10245e-11,16,12.0,0.5,1
same,0.785,7,856.509459204,7.82527088059,192.375,0.6520879319,34.744,6.82951e-11,16,12.0,0.5,1
