label,lambda_perp,saddle_index,saddle_excess,cap_radius,cos_phi
opposite,0,5,5.32023289158,1.58975518556,0.954880333147
same,0,6,147.889330419,1.39952642035,0.839595297068
opposite,10,11,55600.3883237,7.36281517139,0.719864314787
same,10,6,80108.6961908,6.25887242444,0.645324340797
opposite,100,4,1316188.2103,9.69946105202,0.651873040187
same,100,1,1222509.2737,9.8545588719,0.671495538405
