bounds,scenario,galaxy,points,model,family,parameter_count,chi2,chi2_reduced,aicc,delta_aicc,bic,delta_bic,condition_number,practical_rank,rank,maximum_absolute_correlation,boundary_parameters,parameters_dimensionless,delta_aicc_vs_pISO,delta_bic_vs_pISO,delta_aicc_vs_cored_log,delta_bic_vs_cored_log
primary,light,NGC3521,41,C_L_Q,logsvt,3,5.778099162247513,0.15205524111177668,12.426747810896163,3.878214897895136,16.918815362360437,3.878214897895136,18.72634844658221,3,3,0.9749813068769324,,"{""C"": 0.35848405711711007, ""L"": 0.8799295543300236, ""Q"": 0.5307242533455581}",-1.1189403090211947,0.2617725827186739,-9.554981941734166,-8.174269049994297
primary,light,NGC3521,41,C_k1,logsvt,3,4.2034932284129845,0.11061824285297328,10.852141877061634,2.303608964060606,15.344209428525907,2.303608964060606,20.7317972714082,3,3,0.9070994830052513,,"{""B"": 0.275962602629491, ""C"": 0.2797035944443917, ""u1"": 4.177720327020318}",-2.6935462428557244,-1.3128333511158559,-11.129587875568696,-9.748874983828827
primary,light,NGC3521,41,C_k1_Q,logsvt,4,4.203493344238969,0.11360792822267483,13.314604455350079,4.766071542349051,19.0577816110562,6.017181146590898,373478443.6238383,3,4,0.9993340495084627,logQ,"{""B"": 0.2759626066450071, ""C"": 0.2797035483350497, ""Q"": 1.5229979744712682e-08, ""u1"": 4.177721971473247}",-0.23108366456727936,2.4007388314144364,-8.66712529728025,-6.035302801298535
primary,light,NGC3521,41,C_k1_L,logsvt,4,2.591795215207362,0.0700485193299287,11.702906326318473,3.1543734133174457,17.446083482024594,4.405483017559293,1072779690.6198082,3,4,0.9989052893616249,logC,"{""B"": 0.2792406569907644, ""C"": 1.5229979744896594e-08, ""L"": 0.21025460808933072, ""u1"": 34.21992680028908}",-1.8427817935988848,0.789040702382831,-10.278823426311856,-7.64700093033014
primary,light,NGC3521,41,C_k1_L_Q,logsvt,5,2.5917952245890254,0.07199431179413959,14.30608093887474,5.757548025873712,21.159655558110565,8.119055093645263,1474084807.4117174,3,5,0.998710505222807,logC;logQ,"{""B"": 0.2792406540436463, ""C"": 1.5229979810480013e-08, ""L"": 0.2102546273993536, ""Q"": 1.522997989461157e-08, ""u1"": 34.21992765983828}",0.7603928189573814,4.5026127784688015,-7.67564881375559,-3.9334288542441698
primary,light,NGC3521,41,C_k2,logsvt,3,6.4725964488433885,0.17033148549587865,13.121245097492038,4.57271218449101,17.61331264895631,4.572712184491008,15.660683488588182,3,3,0.7258601947705239,,"{""B"": 0.08748686584000695, ""C"": 0.38517641794294516, ""u2"": 16.36964195046849}",-0.4244430224253204,0.9562698693145464,-8.860484655138292,-7.479771763398425
primary,light,NGC3521,41,C_k2_Q,logsvt,4,6.472596595192008,0.17493504311329752,15.58370770630312,7.035174793302092,21.32688486200924,8.28628439754394,360084417.78263813,3,4,0.9933998467635785,logQ,"{""B"": 0.08748686649319992, ""C"": 0.38517638779375873, ""Q"": 1.5229979744847195e-08, ""u2"": 16.36965210386088}",2.0380195863857615,4.669842082367477,-6.39802204632721,-3.766199550345494
primary,light,NGC3521,41,C_k2_L,logsvt,4,1.8998842733278731,0.051348223603456034,11.010995384438983,2.4624624714379557,16.754172540145106,3.7135720756798047,872028418.4515038,3,4,0.9977529278321521,logC,"{""B"": 0.12100247404316625, ""C"": 1.5229979744830314e-08, ""L"": 0.2804171663620376, ""u2"": 909.4244794590672}",-2.534692735478375,0.09712976050334277,-10.970734368191346,-8.338911872209628
primary,light,NGC3521,41,C_k2_L_Q,logsvt,5,1.8604491659795963,0.05167914349943323,13.574734880265309,5.0262019672642815,20.428309499501136,7.387709035035835,1064197839.9913915,4,5,0.990444260923805,logC,"{""B"": 0.117541639682003, ""C"": 1.5229985033523797e-08, ""L"": 0.35802573678959326, ""Q"": 0.07383488503893199, ""u2"": 983.3479164074884}",0.02904676034795095,3.771266719859373,-8.40699487236502,-4.6647749128535985
primary,light,NGC3521,41,C_k12,logsvt,4,2.793957332203474,0.07551236032982361,11.905068443314585,3.3565355303135576,17.648245599020704,4.607645134555403,1122081715.1493428,3,4,0.9971295077203727,logC,"{""B"": 0.2647523664815401, ""C"": 1.5230678445541394e-08, ""u1"": 37.69081621509605, ""u2"": 26.181136445016502}",-1.640619676602773,0.9912028193789411,-10.076661309315744,-7.44483881333403
primary,light,NGC3521,41,C_k12_Q,logsvt,5,2.7939574364461004,0.07760992879016945,14.508243150731813,5.959710237730786,21.36181776996764,8.321217305502339,1100754530.7750895,3,5,0.9998942787731715,logC;logQ,"{""B"": 0.26475231379340886, ""C"": 1.523006325570645e-08, ""Q"": 1.5230017935828867e-08, ""u1"": 37.6908338165679, ""u2"": 26.181181947711885}",0.962555030814455,4.704774990325877,-7.473486601898516,-3.7312666423870944
primary,light,NGC3521,41,C_k12_L,logsvt,5,2.5917952228721917,0.07199431174644977,14.306080937157905,5.757548024156877,21.159655556393734,8.119055091928432,1311879303.4764135,3,5,0.9973608835239428,,"{""B"": 0.2792406532960943, ""C"": 1.5290348992538333e-08, ""L"": 0.21017177791648423, ""u1"": 34.22007642722121, ""u2"": 0.005076417282561501}",0.7603928172405467,4.50261277675197,-7.6756488154724245,-3.933428855961001
primary,light,NGC3521,41,C_k12_L_Q,logsvt,6,1.8604491805557564,0.05315569087302161,16.331037415849874,7.782504502848846,24.141881580781604,11.101281116316303,1301352855.1042886,4,6,0.9999469035144561,,"{""B"": 0.11754163482118125, ""C"": 3.0220681293374855e-08, ""L"": 0.3580257678040172, ""Q"": 0.07383491641851789, ""u1"": 2.6508754508302457e-07, ""u2"": 983.347897777106}",2.785349295932516,7.484838801139841,-5.650692336780455,-0.9512028315731307
primary,light,NGC3521,41,cored_log,cored_log,2,17.66594027894612,0.4529728276652851,21.98172975263033,13.433196839629302,25.093084412354735,12.052483947889433,4.143609156105549,2,2,0.6359397605683711,,"{""H"": 0.6172820500680399, ""Rc"": 0.051083605559686225}",8.436041632712971,8.436041632712971,0.0,0.0
primary,light,NGC3521,41,pISO,piso,2,9.229898646233147,0.23666406785213198,13.545688119917358,4.9971552069163305,16.657042779641763,3.616442315176462,5.762538893440371,2,2,0.7697570327794371,,"{""H"": 0.6823970120954482, ""Rc"": 0.02349180656345196}",0.0,0.0,-8.436041632712971,-8.436041632712971
primary,light,NGC3521,41,NFW,nfw,2,24.5069280783171,0.6283827712389,28.822717552001308,20.274184639000282,31.934072211725713,18.893471747260413,4.982307510129732,2,2,0.8804212755515897,,"{""V200"": 0.4819695741183175, ""c"": 35.72305319550289}",15.27702943208395,15.27702943208395,6.8409877993709785,6.8409877993709785
primary,light,NGC5055,28,baryons,logsvt,0,137762.52730790328,4920.090260996546,137762.52730790328,137708.5334772429,137762.52730790328,137704.94378963695,,0,0,,,{},137521.30298491044,137519.11857589008,137579.94475713128,137577.76034811093
primary,light,NGC5055,28,Q,logsvt,1,137762.53013756237,5102.315931020828,137764.6839837162,137710.69015305582,137765.86234207253,137708.2788238062,1.0,1,1,0.0,logQ,"{""Q"": 1.5229979744712682e-08}",137523.45966072337,137522.45361005934,137582.1014329442,137581.09538228018
primary,light,NGC5055,28,L,logsvt,1,27951.92081254687,1035.2563263906247,27954.074658700716,27900.080828040318,27955.253017057043,27897.669498790725,1.0,1,1,0.0,,"{""L"": 1.3096607356938907}",27712.85033570786,27711.844285043837,27771.492107928723,27770.486057264698
